id,entity,type,description,rank
84,中科附高,组织名称,"""{place: ""未知"", event: ""中科附高是学校名称"", other: """"}""<SEP>""{place: ""未知"", event: ""中科附高是学校名称"", other: """"}""<SEP>""{time: ""未知"", place: ""深圳市光明区"", event: ""中科附高是合作共建的公办普通高中"", other: """"}""<SEP>""{time: ""未知"", place: ""深圳市光明区"", event: ""中科附高是合作共建的公办普通高中"", other: """"}""",14
85,校风,其他,"""{time: ""未知"", place: ""未知"", event: ""学校的校风是和谐、向上"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""学校的校风是和谐、向上"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""学校的校风是诚实、勤奋、尊师、守纪"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""学校的校风是诚实、勤奋、尊师、守纪"", other: """"}""",1
86,2.7万平方米,面积,"""{time: ""未知"", place: ""未知"", event: ""2.7万平方米是中学项目的占地面积"", other: """"}""",1
87,中考升入高一级学校,事件,"""{time: ""y2003"", place: ""未知"", event: ""毕业生参加中考升入高一级学校"", other: """"}""",1
88,校训,其他,"""{time: ""未知"", place: ""未知"", event: ""学校的校训是文明、有礼、立志、成材"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""学校的校训是文明、有礼、立志、成材"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""学校的校训是明理、自律"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""学校的校训是明理、自律"", other: """"}""",1
89,中级,组织名称,"""{time: ""未知"", place: ""未知"", event: ""中级是职称等级"", other: """"}""",0
90,小学和初中学段,地理位置,"""{time: ""未知"", place: ""未知"", event: ""九年一贯制公办学校涵盖小学和初中学段"", other: """"}""",0
91,公明中学标准运动场,组织名称,"""{time: ""y2001"", place: ""公明镇"", event: ""修建公明中学标准运动场"", other: """"}""",1
92,让学生学会学习、学会做人、学会生活、学会创新,组织名称,"""{time: ""未知"", place: ""未知"", event: ""让学生学会学习、学会做人、学会生活、学会创新是学校的办学目标之一"", other: """"}""",0
93,初中总分第一名,事件,"""{time: ""y2000m11"", place: ""未知"", event: ""学校在田径运动会中获得初中总分第一名"", other: """"}""",1
94,校园生活四季,事件,"""{time: ""未知"", place: ""未知"", event: ""校园生活四季是学生校园系列活动的主题"", other: """"}""",0
95,48个班,人数,"""{time: ""未知"", place: ""未知"", event: ""48个班是中学项目的办学规模"", other: """"}""",1
96,人人有特长、人人能成才、人人会成功,事件,"""{time: ""未知"", place: ""未知"", event: ""学校的办学理念"", other: """"}""",1
97,本科班,组织名称,"""{time: ""y1999"", place: ""公明镇"", event: ""本科班是成人学校的一部分"", other: """"}""",1
98,187名学生,人数,"""{time: ""未知"", place: ""未知"", event: ""初中部八年级有187名学生"", other: """"}""",0
99,7.37万平方米,面积,"""{time: ""未知"", place: ""未知"", event: ""7.37万平方米是中学项目的总建筑面积"", other: """"}""",1
100,展翅翱翔,概念,"""{time: ""未知"", place: ""未知"", event: ""师生展翅翱翔是塘尾小学的精神"", other: """"}""",0
101,全面推进素质教育,事件,"""{time: ""未知"", place: ""未知"", event: ""全面推进素质教育是学校的教育目标"", other: """"}""",1
102,踏踏实实做事，顶天立地做人,事件,"""{time: ""未知"", place: ""未知"", event: ""校训：踏踏实实做事，顶天立地做人"", other: """"}""",0
103,七年级6个班,人数,"""{time: ""未知"", place: ""未知"", event: ""初中部七年级有6个班"", other: """"}""",0
104,2000年11月,时间,"""{time: ""y2000m11"", place: ""公明镇"", event: ""2000年11月公明中学获得宝安第七届中专、中小学生田径运动会初中组总分第一名"", other: """"}""<SEP>""{time: ""y2000m11"", place: ""公明镇"", event: ""2000年11月公明中学获得宝安第七届中专、中小学生田径运动会初中组总分第一名"", other: """"}""<SEP>""{time: ""y2000m11"", place: ""未知"", event: ""2000年11月是学校参加田径运动会的时间"", other: """"}""<SEP>""{time: ""y2000m11"", place: ""田寮村"", event: ""2000年11月是田寮广场开放的时间"", other: """"}""<SEP>""{time: ""y2000m11"", place: ""未知"", event: ""2000年11月是学校参加田径运动会的时间"", other: """"}""<SEP>""{time: ""y2000m11"", place: ""田寮村"", event: ""2000年11月是田寮广场开放的时间"", other: """"}""",1
105,足球,事件,"""{time: ""未知"", place: ""未知"", event: ""足球是学生特色发展项目之一"", other: """"}""",1
106,幸福人生,事件,"""{time: ""未知"", place: ""未知"", event: ""学校以奠基幸福人生为目标"", other: """"}""",0
107,教育投入,事件,"""{time: ""未知"", place: ""公明镇"", event: ""公明镇领导班子加大对教育的投入"", other: """"}""",1
108,尚学知行、正大光明,组织名称,"""{time: ""未知"", place: ""未知"", event: ""尚学知行、正大光明是学校的校训"", other: """"}""",0
109,全寄宿制公办普通高中,组织名称,"""{time: ""未知"", place: ""深圳市光明区"", event: ""全寄宿制公办普通高中"", other: """"}""",1
110,550人,人数,"""{time: ""y2004"", place: ""未知"", event: ""2004年学校有550名学生"", other: """"}""<SEP>""{time: ""y2004"", place: ""未知"", event: ""2004年学校有550名学生"", other: """"}""<SEP>""{time: ""未知"", place: ""塘家村"", event: ""塘家村的户籍人口"", other: """"}""<SEP>""{time: ""未知"", place: ""塘家村"", event: ""塘家村的户籍人口"", other: """"}""",2
111,省一级学校,组织名称,"""{time: ""y2003"", place: ""未知"", event: ""被评为省一级学校"", other: """"}""<SEP>""{time: ""y2003"", place: ""未知"", event: ""被评为省一级学校"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""省一级学校是全镇公办学校的一部分"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""省一级学校是全镇公办学校的一部分"", other: """"}""",4
112,学风,其他,"""{time: ""未知"", place: ""未知"", event: ""学校的学风是乐学、善思"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""学校的学风是乐学、善思"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""学校的学风是独立思考、拼搏进取"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""学校的学风是独立思考、拼搏进取"", other: """"}""",1
113,第一届700名高一新生,人数,"""{time: ""y2021m09"", place: ""未知"", event: ""第一届700名高一新生入校"", other: """"}""",1
114,守纪,其他,"""{time: ""未知"", place: ""未知"", event: ""守纪是学校的学生学风之一"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""守纪是学校的学生学风之一"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""守纪是学校的校风之一"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""守纪是学校的校风之一"", other: """"}""",0
115,招生开学,事件,"""{time: ""未知"", place: ""未知"", event: ""光明高中园力争年内如期招生开学"", other: """"}""",1
116,光明高中园,组织名称,光明高中园是一个位于光明的重要教育机构，于2021年开始稳步推进其建设。该园不仅是全区最大的学校建设项目，而且还是党群服务阵地的一部分，承担着重要的社会服务功能。光明高中园的建设得到了马田街道的大力支持，并被视为重点项目之一。尽管具体时间不详，但可以确定的是，光明高中园的建设进展顺利，并在2021年已取得显著进展。,9
117,学生成长,事件,"""{time: ""未知"", place: ""未知"", event: ""学生成长是学校关注的重点工程之一"", other: """"}""",1
118,提高授课效率,事件,"""{time: ""未知"", place: ""未知"", event: ""学校努力提高授课效率"", other: """"}""",1
119,校园绿化、美化,设施,"""{time: ""y1998"", place: ""未知"", event: ""校园绿化、美化达到区一级学校水平"", other: """"}""",1
120,成人高考考前辅导班,组织名称,"""{time: ""y1999"", place: ""公明镇"", event: ""成人高考考前辅导班是由公明成校和广东省高校联合开办的"", other: """"}""",1
121,校园网,设施,"""{time: ""y2002m11"", place: ""未知"", event: ""装配完善了校园网"", other: """"}""<SEP>""{time: ""y2002m11"", place: ""未知"", event: ""装配完善了校园网"", other: """"}""<SEP>""{time: ""y2004"", place: ""未知"", event: ""学校设立校园网"", other: """"}""<SEP>""{time: ""y2004"", place: ""未知"", event: ""设立校园网"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""校园网是学校的一个设施"", other: """"}""<SEP>""{time: ""y2004"", place: ""未知"", event: ""学校设立校园网"", other: """"}""<SEP>""{time: ""y2004"", place: ""未知"", event: ""设立校园网"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""校园网是学校的一个设施"", other: """"}""",1
122,石家社区高中园项目,事件,"""{time: ""y2021m01d20"", place: ""未知"", event: ""石家社区高中园项目工人代表向社区工作站赠送锦旗"", other: """"}""",2
123,书声琅琅振校园,事件,"""{time: ""未知"", place: ""未知"", event: ""书声琅琅振校园"", other: """"}""",1
124,1802人,人数,"""{time: ""未知"", place: ""未知"", event: ""1802人是公明中学的学生人数"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""1802人是公明中学的学生人数"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""全年图书馆归还人数"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""全年图书馆归还人数"", other: """"}""",1
125,以培养学生的学习意识和实践能力为重点,组织名称,"""{time: ""未知"", place: ""未知"", event: ""以培养学生的学习意识和实践能力为重点是学校的办学目标之一"", other: """"}""",0
126,高级教师,人数,"""{time: ""未知"", place: ""未知"", event: ""高级教师人数"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""高级教师人数"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""高级教师是教师的一种职称"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""高级教师是教师的一种职称"", other: """"}""",1
127,93%,百分比,"""{time: ""未知"", place: ""未知"", event: ""升学率达到93%"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""升学率达到93%"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""头盔佩戴率提升到93%"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""头盔佩戴率提升到93%"", other: """"}""",1
128,上学难,事件,"""{time: ""未知"", place: ""未知"", event: ""上学难是群众面临的问题之一"", other: """"}""",1
129,电脑,设备,"""{time: ""未知"", place: ""未知"", event: ""电脑是学校的一个设备"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""电脑是学校的一个设备"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""电脑是街道退役军人服务站的办公设备之一"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""电脑是街道退役军人服务站的办公设备之一"", other: """"}""",1
130,室内篮球馆,组织名称,"""{time: ""未知"", place: ""未知"", event: ""学校建有室内篮球馆"", other: """"}""",1
131,文明、守纪、勤奋、活泼,概念,"""{time: ""未知"", place: ""未知"", event: ""塘尾小学的校风"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""塘尾小学的校风"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""学校的校风是文明、守纪、勤奋、活泼"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""文明、守纪、勤奋、活泼是塘尾小学的校风"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""学校的校风是文明、守纪、勤奋、活泼"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""文明、守纪、勤奋、活泼是塘尾小学的校风"", other: """"}""",1
132,国际化,事件,"""{time: ""未知"", place: ""未知"", event: ""国际化是学校建设的目标之一"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""国际化是学校建设的目标之一"", other: """"}""<SEP>""{time: ""未知"", place: ""深圳"", event: ""中大国际创新街区将聚焦国际化"", other: """"}""<SEP>""{time: ""未知"", place: ""深圳"", event: ""中大国际创新街区将聚焦国际化"", other: """"}""",0
133,啊，中心校啊，中心校,组织名称,"""{time: ""未知"", place: ""未知"", event: ""啊，中心校啊，中心校是对中心校的称呼"", other: """"}""",1
134,学有优教,事件,"""{time: ""未知"", place: ""未知"", event: ""学有优教是政府的工作目标"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""学有优教是政府的工作目标"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""聚焦学有优教"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""聚焦学有优教"", other: """"}""",2
135,高中,组织名称,"""{time: ""未知"", place: ""深圳市光明区"", event: ""高中是中科附高的教育阶段"", other: """"}""",0
136,健全人格,事件,"""{time: ""未知"", place: ""未知"", event: ""学校以培养健全人格为目标"", other: """"}""",0
137,标准篮球场,地理位置,"""{time: ""未知"", place: ""未知"", event: ""标准篮球场是学校的设施"", other: """"}""",1
138,学生和学校教职工,个人姓名,"""{time: ""未知"", place: ""未知"", event: ""学生和学校教职工"", other: """"}""",1
139,高品质,事件,"""{time: ""未知"", place: ""未知"", event: ""高品质是学校建设的目标之一"", other: """"}""",0
140,公办普高,组织名称,"""{time: ""未知"", place: ""深圳市光明区"", event: ""中国科学院深圳理工大学附属实验高级中学是一所公办普通高中"", other: """"}""",0
141,百花盛开,自然现象,"""{time: ""未知"", place: ""未知"", event: ""百花在塘尾小学盛开"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""百花在塘尾小学盛开"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""百花盛开是形容校园的景象"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""百花盛开是形容校园的景象"", other: """"}""",3
142,升入重点高中172人,事件,"""{time: ""y2003"", place: ""未知"", event: ""升入重点高中172人"", other: """"}""",1
143,游应寿,个人姓名,"""{time: ""未知"", place: ""未知"", event: ""游应寿是历任校长之一"", other: """"}""",0
144,新围旧中学,组织名称,"""{time: ""未知"", place: ""未知"", event: ""新围旧中学是城中村片区之一"", other: """"}""",1
145,1项,人数,"""{time: ""未知"", place: ""未知"", event: ""学校获得的国家级奖项数量"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""学校获得的国家级奖项数量"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""学校获得的省级奖项数量"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""学校获得的省级奖项数量"", other: """"}""",1
